# generated by reference-checks/aces_ocio_encodings_reference.py, OpenColorIO 2.5.2
# ACES-OUTPUT - ACES2065-1_to_CIE-XYZ-D65 - <preset>_2.0 followed by DISPLAY - CIE-XYZ-D65_to_<encoding>
# columns: preset,r_ap0,g_ap0,b_ap0,cv_r,cv_g,cv_b
# presets: rec709_100_srgb = SDR-100nit-REC709_2.0 + DISPLAY - CIE-XYZ-D65_to_sRGB; rec709_100_bt1886 = SDR-100nit-REC709_2.0 + DISPLAY - CIE-XYZ-D65_to_REC.1886-REC.709; rec709_100_g22 = SDR-100nit-REC709_2.0 + DISPLAY - CIE-XYZ-D65_to_G2.2-REC.709; p3d65_100_g26 = SDR-100nit-P3-D65_2.0 + DISPLAY - CIE-XYZ-D65_to_G2.6-P3-D65; p3d65_1000_pq = HDR-1000nit-P3-D65_2.0 + DISPLAY - CIE-XYZ-D65_to_ST2084-P3-D65; rec2020_1000_pq = HDR-1000nit-REC2020_2.0 + DISPLAY - CIE-XYZ-D65_to_REC.2100-PQ; p3d65_1000_hlg_rec2100 = HDR-1000nit-P3-D65_2.0 + DISPLAY - CIE-XYZ-D65_to_REC.2100-HLG-1000nit; rec709d60_100_srgb = SDR-100nit-REC709-D60-in-REC709-D65_2.0 + DISPLAY - CIE-XYZ-D65_to_sRGB; p3d60_1000_pq_rec2100 = HDR-1000nit-P3-D60-in-REC2020-D65_2.0 + DISPLAY - CIE-XYZ-D65_to_REC.2100-PQ
rec2020_1000_pq,0.16540092,0.2519093,0.06328633,0.3243579,0.37341204,0.23359121
rec2020_1000_pq,0.12459811,0.20032758,0.0003521437,0.30214483,0.34664068,7.309427e-07
rec2020_1000_pq,0.017277788,0.2918255,0.04677635,7.309427e-07,0.38424852,0.22149493
p3d65_1000_hlg_rec2100,0.0,0.0,0.0,0.0,0.0,0.0
p3d65_1000_hlg_rec2100,0.01,0.01,0.01,0.036341164,0.036341164,0.036341164
p3d65_1000_hlg_rec2100,0.5,0.5,0.5,0.49932775,0.4993279,0.49932787
p3d65_1000_hlg_rec2100,8.0,8.0,8.0,0.90382785,0.90382797,0.90382797
p3d65_1000_hlg_rec2100,0.05,0.0,0.0,0.12767513,0.03147809,0.012180406
p3d65_1000_hlg_rec2100,0.0,0.05,0.05,0.06115233,0.12166685,0.11748026
p3d65_1000_hlg_rec2100,0.5,0.0,0.0,0.5734945,0.14405744,0.07911432
p3d65_1000_hlg_rec2100,0.0,0.5,0.5,0.24768911,0.49256665,0.4769225
p3d65_1000_hlg_rec2100,1.0,0.0,0.0,0.71876466,0.20332171,0.11635315
p3d65_1000_hlg_rec2100,0.0,1.0,1.0,0.34297118,0.641237,0.6277276
p3d65_1000_hlg_rec2100,10.0,0.0,0.0,0.9915069,0.57400674,0.39636368
p3d65_1000_hlg_rec2100,0.0,10.0,10.0,0.6795946,0.94390255,0.932312
