# generated by reference-checks/aces_ocio_encodings_reference.py, OpenColorIO 2.5.2
# inverse of aces2_ocio_display_encoding.csv (display code values -> ACES2065-1)
# columns: preset,cv_r,cv_g,cv_b,r_ap0,g_ap0,b_ap0
p3d65_1000_pq,0.10328702,7.309427e-07,0.07259999,0.01920544,0.0047568628,0.013045468
p3d65_1000_pq,7.309427e-07,0.036718115,0.033549335,0.0034652317,0.006330667,0.0058504227
p3d65_1000_pq,7.309427e-07,0.006079644,0.004009386,0.0006279539,0.0014002898,0.0008160124
p3d65_1000_pq,7.309427e-07,0.3372203,0.30234486,0.08552361,0.1902211,0.14080118
p3d65_1000_pq,0.6771979,0.64840275,0.6535343,6.316224,4.2705336,4.5560646
p3d65_1000_pq,0.30861843,0.37665012,0.22721766,0.165401,0.2519094,0.0632863
p3d65_1000_pq,0.29157537,0.34944615,7.309427e-07,0.12800588,0.19839065,0.012430033
p3d65_1000_pq,7.309427e-07,0.37843314,0.25871968,0.094871216,0.2676881,0.07225829
rec2020_1000_pq,7.309427e-07,7.309427e-07,7.309427e-07,1.6371068e-06,1.637108e-06,1.6371074e-06
rec2020_1000_pq,0.06068117,0.060681157,0.060681164,0.010000006,0.010000011,0.010000008
rec2020_1000_pq,0.44129124,0.4412912,0.44129124,0.5000001,0.50000054,0.50000036
rec2020_1000_pq,0.68391824,0.6839182,0.6839182,8.000031,8.000031,8.000022
rec2020_1000_pq,0.1729657,0.03107234,0.017967215,0.050538518,0.003290564,1.5410886e-05
rec2020_1000_pq,7.309427e-07,0.1806689,0.1762191,0.01625174,0.05071506,0.04956947
rec2020_1000_pq,0.46259308,0.11760234,0.0799498,0.50538474,0.032905657,0.00015408685
rec2020_1000_pq,7.309427e-07,0.44267103,0.43520132,0.1694228,0.5073732,0.49548146
rec2020_1000_pq,0.54774964,0.13580567,0.099025175,1.0107708,0.06581136,0.0003081793
rec2020_1000_pq,7.309427e-07,0.5200893,0.51211196,0.3417264,1.0177958,0.99361724
rec2020_1000_pq,0.7518271,0.44707087,0.35101396,7.8635035,0.75146383,0.08383055
rec2020_1000_pq,7.309427e-07,0.7210878,0.7125511,3.2918262,10.328595,10.087156
rec2020_1000_pq,0.728312,0.72675616,0.73151165,28.41866,24.345043,37.99676
rec2020_1000_pq,0.4877521,0.48353264,0.29782093,0.6612506,0.6826785,0.0947885
rec2020_1000_pq,0.74143684,0.7416688,0.7414588,59.223305,61.565796,59.032593
rec2020_1000_pq,7.309427e-07,0.004760999,0.0053154584,0.00046195724,0.0012347954,0.0015257896
rec2020_1000_pq,0.73885006,0.6958989,0.7518271,34.914722,10.153596,57.368275
rec2020_1000_pq,0.093172796,0.00844347,0.07195715,0.02113434,0.0025685914,0.014078958
rec2020_1000_pq,0.01210158,0.036065996,0.03380441,0.0028449225,0.006610463,0.0061173113
rec2020_1000_pq,0.0016740736,0.005874781,0.004056631,0.00051750836,0.0014351334,0.0008430994
rec2020_1000_pq,7.309427e-07,0.34166467,0.3016877,0.058496006,0.20767167,0.14060132
rec2020_1000_pq,0.6709787,0.649962,0.653414,6.3162336,4.27053,4.5560393
rec2020_1000_pq,0.3243579,0.37341204,0.23359121,0.16540119,0.2519094,0.063286364
rec2020_1000_pq,0.30214483,0.34664068,7.309427e-07,0.12608047,0.19945773,0.0070015634
rec2020_1000_pq,7.309427e-07,0.38424852,0.22149493,0.058619853,0.29260546,0.04746541
p3d65_1000_hlg_rec2100,0.0,0.0,0.0,0.0,0.0,0.0
p3d65_1000_hlg_rec2100,0.036341164,0.036341164,0.036341164,0.010000014,0.010000007,0.010000004
p3d65_1000_hlg_rec2100,0.49932775,0.4993279,0.49932787,0.49999982,0.50000006,0.49999997
p3d65_1000_hlg_rec2100,0.90382785,0.90382797,0.90382797,7.9999948,8.0,7.9999976
p3d65_1000_hlg_rec2100,0.12767513,0.03147809,0.012180406,0.043504618,0.008794703,0.0020540315
p3d65_1000_hlg_rec2100,0.06115233,0.12166685,0.11748026,0.02571287,0.044729028,0.04364579
p3d65_1000_hlg_rec2100,0.5734945,0.14405744,0.07911432,0.4683101,0.0614405,0.010376449
p3d65_1000_hlg_rec2100,0.24768911,0.49256665,0.4769225,0.21021129,0.48333848,0.47121894
p3d65_1000_hlg_rec2100,0.71876466,0.20332171,0.11635315,0.9635566,0.101205245,0.011667483
p3d65_1000_hlg_rec2100,0.34297118,0.641237,0.6277276,0.39531144,0.9838697,0.9592684
p3d65_1000_hlg_rec2100,0.9915069,0.57400674,0.39636368,6.910111,0.78182715,0.13609132
p3d65_1000_hlg_rec2100,0.6795946,0.94390255,0.932312,3.4124758,10.085129,9.833182
p3d65_1000_hlg_rec2100,0.9672066,0.9645738,0.9726167,28.41837,24.344921,37.99712
p3d65_1000_hlg_rec2100,0.5958102,0.5863432,0.21238993,0.661251,0.68267834,0.094788596
p3d65_1000_hlg_rec2100,0.98538595,0.9857771,0.98542297,59.220806,61.566696,59.03002
p3d65_1000_hlg_rec2100,0.0016531431,0.003219593,0.0034877623,0.00063958624,0.0011608957,0.0013727442
p3d65_1000_hlg_rec2100,0.9885925,0.91910505,1.0093784,34.79912,10.387415,56.754665
p3d65_1000_hlg_rec2100,0.06210391,0.015923744,0.044674948,0.019205438,0.0047568665,0.013045468
p3d65_1000_hlg_rec2100,0.011186911,0.022383098,0.020881427,0.0034652317,0.006330667,0.0058504227
p3d65_1000_hlg_rec2100,0.0018981231,0.003926738,0.002824457,0.0006279539,0.0014002898,0.0008160124
p3d65_1000_hlg_rec2100,0.15130423,0.30774054,0.2563519,0.08552367,0.19022098,0.140801
