# generated by reference-checks/aces2_ocio_reference.py, OpenColorIO 2.5.2
# FIXED_FUNCTION_ACES_OUTPUT_TRANSFORM_20
# columns: peak_nits,limiting_primaries,r,g,b,r_out,g_out,b_out
# output is display-linear in the limiting primaries, 1.0 = 100 cd/m^2
1000.0,rec2020,0.18,0.18,0.18,0.14511542,0.14511551,0.14511546
1000.0,rec2020,0.5,0.5,0.5,0.5053362,0.50533617,0.5053362
1000.0,rec2020,1.0,1.0,1.0,1.0656375,1.0656389,1.0656388
1000.0,rec2020,2.0,2.0,2.0,2.0578358,2.0578346,2.0578349
1000.0,rec2020,8.0,8.0,8.0,5.3514023,5.351401,5.3514013
1000.0,rec2020,32.0,32.0,32.0,8.335223,8.3352165,8.335219
1000.0,rec2020,100.0,100.0,100.0,9.484495,9.484489,9.484491
1000.0,rec2020,0.05,0.0,0.0,0.012613889,-7.648828e-05,0.00021886919
1000.0,rec2020,0.05,0.05,0.0,0.025401967,0.022989532,-0.00048765223
1000.0,rec2020,0.0,0.05,0.0,-0.0009724253,0.013267451,0.00046340053
1000.0,rec2020,0.0,0.05,0.05,-0.0019110875,0.012110699,0.011295749
1000.0,rec2020,0.0,0.0,0.05,-1.8910455e-06,-5.7491854e-07,7.0991177e-06
1000.0,rec2020,0.05,0.0,0.05,0.0116056455,-0.0005256716,0.009208478
1000.0,rec2020,0.5,0.0,0.0,0.57009566,-0.010573326,0.0070004435
1000.0,rec2020,0.5,0.5,0.0,0.62035334,0.5605151,-0.0128334295
1000.0,rec2020,0.0,0.5,0.0,-0.059296954,0.4870318,0.0064409547
1000.0,rec2020,0.0,0.5,0.5,-0.10105679,0.42561963,0.3958921
1000.0,rec2020,0.0,0.0,0.5,-4.9740713e-05,1.6002086e-05,0.000113789865
1000.0,rec2020,0.5,0.0,0.5,0.48271808,-0.035245176,0.3836799
1000.0,rec2020,1.0,0.0,0.0,1.3751731,-0.03694679,0.012704259
1000.0,rec2020,1.0,1.0,0.0,1.3141446,1.1899573,-0.0232454
1000.0,rec2020,0.0,1.0,0.0,-0.17044729,1.132259,0.002071046
1000.0,rec2020,0.0,1.0,1.0,-0.28050202,0.9837602,0.91379905
1000.0,rec2020,0.0,0.0,1.0,-0.00012282231,7.516441e-05,0.00028242814
1000.0,rec2020,1.0,0.0,1.0,1.1507372,-0.104874425,0.9165346
1000.0,rec2020,10.0,0.0,0.0,10.416285,0.063792154,0.2294415
1000.0,rec2020,10.0,10.0,0.0,7.4607573,6.8214955,-0.059167624
1000.0,rec2020,0.0,10.0,0.0,-2.1266477,9.573136,-0.2164721
1000.0,rec2020,0.0,10.0,10.0,-0.14717747,6.3898664,5.98538
1000.0,rec2020,0.0,0.0,10.0,-0.0032739847,0.007704733,0.0145468805
1000.0,rec2020,10.0,0.0,10.0,10.904243,-1.5739155,8.764433
1000.0,rec2020,0.12835671,0.42425424,0.2891852,0.0073142066,0.4256502,0.26172903
1000.0,rec2020,0.2179053,0.23109841,0.34486538,0.15716459,0.18876924,0.3079919
1000.0,rec2020,0.0025988314,0.008282656,0.0012659623,4.744303e-05,0.00046410962,3.990508e-05
1000.0,rec2020,0.0016947687,0.00044669004,0.0013730898,1.14679715e-05,1.2396594e-06,7.5686416e-06
1000.0,rec2020,7.2360888,5.3612547,6.6169443,5.0511985,4.424412,4.7739844
1000.0,rec2020,0.00061579206,0.0014427701,0.0016487708,8.310277e-07,9.083296e-06,1.01296855e-05
1000.0,rec2020,0.00085590343,0.005282828,0.0067177676,-2.760419e-05,0.00013396727,0.00016114011
1000.0,rec2020,14.227308,18.438784,4.0771413,7.0161247,7.7485547,4.975965
1000.0,rec2020,0.05438203,0.008477045,0.0514045,0.018333126,0.0002125736,0.014250037
1000.0,rec2020,60.60197,33.507004,88.86753,9.064672,8.537337,9.355736
1000.0,rec2020,2.780193,12.51065,22.101048,-0.021322222,6.88939,10.463253
1000.0,rec2020,0.053610936,0.09035126,0.0063881534,0.028389659,0.05605393,0.0008331662
1000.0,rec2020,0.040305544,0.053870525,0.04492682,0.012435351,0.024620522,0.01791165
1000.0,rec2020,2.0856154,0.8216084,1.7603343,2.3942852,0.8335204,1.7928919
1000.0,rec2020,0.012909604,0.0018970562,0.011854765,0.0009428992,5.4871934e-06,0.00070768496
1000.0,rec2020,0.63535184,0.59443116,0.34960604,0.72127956,0.6388448,0.38850805
1000.0,rec2020,0.009795946,0.0067738215,0.007262715,0.0009355871,0.0004187839,0.000505854
1000.0,rec2020,4.9657006,7.114646,0.7187635,4.3108606,5.755242,1.3164066
1000.0,rec2020,0.020688212,0.025609445,0.006608773,0.0050057406,0.006510071,0.00072825246
1000.0,rec2020,0.002140473,0.0022664326,0.0013847284,3.3658533e-05,3.509544e-05,1.9609352e-05
1000.0,rec2020,5.7410045,6.970885,5.246352,4.57019,4.9474907,4.4888268
1000.0,rec2020,12.311204,5.3472,2.5092647,7.2253103,4.7805877,3.8914435
1000.0,rec2020,1.1829528,7.845009,5.9025946,-0.12303265,6.262822,4.5815635
1000.0,rec2020,3.7690847,8.79762,2.1358516,3.53501,6.0391636,2.9674568
1000.0,rec2020,2.024743,0.48334378,1.9702173,2.5389333,0.27095732,2.0792508
1000.0,rec2020,4.7441,1.1557485,3.409549,5.240325,1.0230886,3.2378614
1000.0,rec2020,24.532665,24.760946,11.826119,8.029553,7.9963036,7.193334
1000.0,rec2020,0.7793694,0.74921787,0.45722532,0.8861503,0.81740046,0.5290774
1000.0,rec2020,0.27376878,0.27468958,0.059621945,0.29385573,0.2701608,0.04210961
1000.0,rec2020,1.7278978,3.3542383,3.069833,1.4058425,3.217042,2.894604
1000.0,rec2020,0.1452532,-0.04281437,0.26234332,0.035082757,-0.0045172293,0.037198573
1000.0,rec2020,0.25027362,-0.03415102,0.16085279,0.14128655,-0.011013872,0.073951125
1000.0,rec2020,0.15937898,0.09650285,0.21861161,0.12040519,0.04747866,0.17361304
1000.0,rec2020,-0.02372666,0.21780685,0.13215691,-0.026084201,0.1285556,0.08098539
1000.0,rec2020,0.23191704,0.019229304,0.19946364,0.18884607,-0.004163127,0.13060273
1000.0,rec2020,0.29208368,0.268283,0.011918582,0.3296649,0.26638252,0.002853095
1000.0,rec2020,0.19156015,0.19844612,-0.04582044,0.18155278,0.17818923,-0.012549124
1000.0,rec2020,0.18020925,0.22492863,0.26699904,0.118300535,0.18955575,0.23176713
4000.0,rec2020,0.0,0.0,0.0,0.0,0.0,0.0
4000.0,rec2020,1e-04,1e-04,1e-04,3.383107e-08,3.3831046e-08,3.3831054e-08
4000.0,rec2020,0.001,0.001,0.001,6.668953e-06,6.6689486e-06,6.6689495e-06
4000.0,rec2020,0.01,0.01,0.01,0.0011376668,0.0011376658,0.001137666
4000.0,rec2020,0.05,0.05,0.05,0.025071375,0.025071356,0.025071364
4000.0,rec2020,0.18,0.18,0.18,0.16824189,0.16824216,0.16824213
4000.0,rec2020,0.5,0.5,0.5,0.6023213,0.60232127,0.6023214
4000.0,rec2020,1.0,1.0,1.0,1.338828,1.338827,1.3388273
4000.0,rec2020,2.0,2.0,2.0,2.8443258,2.8443284,2.8443274
