# generated by reference-checks/aces2_ocio_reference.py, OpenColorIO 2.5.2
# FIXED_FUNCTION_ACES_OUTPUT_TRANSFORM_20 (inverse direction)
# columns: peak_nits,limiting_primaries,r_display,g_display,b_display,r_ap0,g_ap0,b_ap0
# inputs are the forward outputs of aces2_ocio_output_transform.csv
100.0,p3d65,0.8906381,0.83611584,0.8614092,7.236096,5.3612556,6.616967
100.0,p3d65,8.1049016e-08,6.766251e-06,7.0105098e-06,0.0006157916,0.0014427733,0.0016487743
100.0,p3d65,-3.4602235e-06,9.105066e-05,9.5917676e-05,0.000855912,0.0052828314,0.0067177606
100.0,p3d65,0.9374302,0.9879849,0.8184851,14.227196,18.438776,4.0771394
100.0,p3d65,0.017071716,-3.969732e-05,0.010639294,0.05438216,0.008476967,0.051404644
100.0,p3d65,0.9942594,0.9771261,0.9983485,60.59883,33.507244,88.86284
100.0,p3d65,0.5610337,0.9223723,1.0059876,2.7597444,12.385551,21.86504
100.0,p3d65,0.017110374,0.0434304,0.00028427487,0.053610917,0.09035131,0.006388135
100.0,p3d65,0.0063998015,0.019247014,0.013351528,0.040305533,0.053870548,0.04492684
100.0,p3d65,0.94610274,0.33193237,0.6422364,2.0856133,0.8216088,1.7603338
100.0,p3d65,0.0008580377,-3.2755452e-06,0.0005173943,0.012909595,0.001897072,0.011854756
100.0,p3d65,0.38389546,0.33099738,0.22348832,0.63535166,0.59443206,0.34960607
100.0,p3d65,0.0008312362,0.000295257,0.00038757594,0.009795957,0.0067738304,0.007262721
100.0,p3d65,0.7945997,1.0152951,0.40775737,4.965673,7.1146317,0.7187585
100.0,p3d65,0.0036774632,0.0050466973,0.000501488,0.02068823,0.025609456,0.006608782
100.0,p3d65,2.5958656e-05,2.6924177e-05,1.4367891e-05,0.002140475,0.0022664357,0.0013847267
100.0,p3d65,0.8416978,0.8718515,0.84215444,5.740988,6.970879,5.2463336
100.0,p3d65,1.0236979,0.84563196,0.8017213,12.3108835,5.347179,2.5093455
100.0,p3d65,0.22495908,1.0141026,0.82503957,1.185217,7.8637753,5.9165316
100.0,p3d65,0.68178725,0.9978093,0.6730337,3.7690895,8.79762,2.1358547
100.0,p3d65,1.0210478,0.15136734,0.70276093,2.0247421,0.483344,1.9702168
100.0,p3d65,1.0700719,0.41764164,0.7030107,4.7296047,1.1534224,3.3995585
100.0,p3d65,0.9714805,0.9687901,0.9422485,24.532612,24.760971,11.8262
100.0,p3d65,0.43026674,0.39079684,0.28288087,0.77936953,0.74921787,0.4572256
100.0,p3d65,0.20314634,0.17523032,0.027238889,0.27376884,0.27468985,0.059621975
100.0,p3d65,0.36518672,0.8427621,0.7571858,1.7278966,3.3542433,3.069835
100.0,p3d65,0.031176906,-0.00074072514,0.024836577,0.14524707,-0.04280984,0.2623229
100.0,p3d65,0.12216527,-0.0019053125,0.05518333,0.2502702,-0.034148864,0.1608506
100.0,p3d65,0.09892082,0.029368527,0.12657927,0.15937911,0.096503,0.21861173
100.0,p3d65,-0.0034245988,0.089099355,0.06394133,-0.023726555,0.2178069,0.13215706
100.0,p3d65,0.1647795,-0.0010790665,0.092464894,0.2319164,0.019229984,0.19946274
100.0,p3d65,0.23604034,0.17236622,0.0012212148,0.29208335,0.26828295,0.011918568
100.0,p3d65,0.13930473,0.13773693,-0.0031694078,0.19156009,0.19844662,-0.045822736
100.0,p3d65,0.06385921,0.13033405,0.15514593,0.18020901,0.22492866,0.26699895
1000.0,rec2020,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,rec2020,2.7553975e-08,2.7553956e-08,2.7553963e-08,0.00010000015,0.000100000194,0.00010000016
1000.0,rec2020,5.436616e-06,5.436612e-06,5.4366133e-06,0.001000001,0.001000001,0.0010000009
1000.0,rec2020,0.0009384515,0.000938451,0.00093845115,0.010000006,0.010000012,0.0100000035
1000.0,rec2020,0.02134029,0.021340273,0.021340279,0.05000001,0.050000034,0.05
1000.0,rec2020,0.14511542,0.14511551,0.14511546,0.17999993,0.18000007,0.18000002
1000.0,rec2020,0.5053362,0.50533617,0.5053362,0.49999982,0.5,0.49999997
1000.0,rec2020,1.0656375,1.0656389,1.0656388,0.99999934,1.0000012,1.0000013
1000.0,rec2020,2.0578358,2.0578346,2.0578349,2.0000002,2.000002,2.0000017
1000.0,rec2020,5.3514023,5.351401,5.3514013,7.999978,8.0000105,7.9999905
