# generated by reference-checks/aces2_ocio_reference.py, OpenColorIO 2.5.2
# FIXED_FUNCTION_ACES_RGB_TO_JMH_20
# columns: primaries,r,g,b,J,M,h
rec709,3.7690847,8.79762,2.1358516,234.13193,88.50733,135.2519
rec709,2.024743,0.48334378,1.9702173,103.831314,56.837605,331.67273
rec709,4.7441,1.1557485,3.409549,148.12613,72.38507,342.63913
rec709,24.532665,24.760946,11.826119,402.16193,66.032555,105.65924
rec709,0.7793694,0.74921787,0.45722532,85.13279,12.653159,99.621376
rec709,0.27376878,0.27468958,0.059621945,51.18007,20.597248,105.728004
rec709,1.7278978,3.3542383,3.069833,163.68651,24.145126,185.8317
rec709,0.1452532,-0.04281437,0.26234332,24.62961,47.93065,323.45563
rec709,0.25027362,-0.03415102,0.16085279,27.252684,52.4123,342.86523
rec709,0.15937898,0.09650285,0.21861161,38.758556,12.70014,311.31537
rec709,-0.02372666,0.21780685,0.13215691,40.907322,22.47667,175.20007
rec709,0.23191704,0.019229304,0.19946364,33.7258,31.394043,335.98615
rec709,0.29208368,0.268283,0.011918582,50.330944,28.42265,103.0202
rec709,0.19156015,0.19844612,-0.04582044,41.30594,70.04607,109.87282
rec709,0.18020925,0.22492863,0.26699904,49.560383,4.552436,239.05603
rec2020,0.0,0.0,0.0,0.0,0.0,0.0
rec2020,1e-04,1e-04,1e-04,1.2754085,1.8156045e-06,179.50035
rec2020,0.001,0.001,0.001,3.825171,3.7694901e-06,178.41432
rec2020,0.01,0.01,0.01,11.448256,8.799557e-06,174.70462
rec2020,0.05,0.05,0.05,24.561338,2.9480893e-06,181.73788
rec2020,0.18,0.18,0.18,44.938602,5.2442287e-05,177.62239
rec2020,0.5,0.5,0.5,72.49245,4.3696742e-05,176.44167
rec2020,1.0,1.0,1.0,99.99999,9.510992e-05,177.48572
rec2020,2.0,2.0,2.0,137.52728,6.601254e-06,177.93018
rec2020,8.0,8.0,8.0,256.72885,0.00021857682,175.99693
rec2020,32.0,32.0,32.0,466.52563,0.00041873855,177.42194
rec2020,100.0,100.0,100.0,738.8857,0.0004360034,177.74358
rec2020,0.05,0.0,0.0,13.488929,34.07253,22.813887
rec2020,0.05,0.05,0.0,22.40665,20.482948,105.60341
rec2020,0.0,0.05,0.0,18.000807,30.471199,148.45576
rec2020,0.0,0.05,0.05,20.608341,18.420258,192.1249
rec2020,0.0,0.0,0.05,10.323483,16.408945,269.8557
rec2020,0.05,0.0,0.05,17.031826,28.491867,341.3248
rec2020,0.5,0.0,0.0,40.07597,88.108246,22.950668
rec2020,0.5,0.5,0.0,66.21372,52.873806,105.666954
rec2020,0.0,0.5,0.0,53.33982,78.502815,148.31479
rec2020,0.0,0.5,0.5,60.970352,47.175285,192.10847
rec2020,0.0,0.0,0.5,30.746147,42.22473,269.67395
rec2020,0.5,0.0,0.5,50.500824,73.30177,341.38397
rec2020,1.0,0.0,0.0,55.478592,116.80193,23.024971
rec2020,1.0,1.0,0.0,91.3983,70.02742,105.70085
rec2020,0.0,1.0,0.0,73.735596,103.86167,148.23886
rec2020,0.0,1.0,1.0,84.21286,62.215336,192.09973
rec2020,0.0,0.0,1.0,42.61881,55.829437,269.57593
rec2020,1.0,0.0,1.0,69.83495,96.90711,341.41553
rec2020,10.0,0.0,0.0,160.60016,289.80643,23.500093
rec2020,10.0,10.0,0.0,259.91705,172.7731,105.90757
rec2020,0.0,10.0,0.0,211.58078,254.58002,147.76405
rec2020,0.0,10.0,10.0,240.39574,149.49011,192.04657
rec2020,0.0,0.0,10.0,124.38588,136.31216,268.96124
rec2020,10.0,0.0,10.0,200.81245,236.37529,341.60843
rec2020,0.12835671,0.42425424,0.2891852,58.06229,30.991184,175.25865
rec2020,0.2179053,0.23109841,0.34486538,52.03333,8.715111,268.95187
rec2020,0.0025988314,0.008282656,0.0012659623,8.50003,9.207074,145.63214
rec2020,0.0016947687,0.00044669004,0.0013730898,3.7779002,4.2728724,346.36768
rec2020,7.2360888,5.3612547,6.6169443,228.24245,34.023815,347.8424
rec2020,0.00061579206,0.0014427701,0.0016487708,4.2109065,2.219643,201.13907
rec2020,0.00085590343,0.005282828,0.0067177676,7.537819,5.8434725,202.61533
rec2020,14.227308,18.438784,4.0771413,335.02063,132.01399,120.95223
rec2020,0.05438203,0.008477045,0.0514045,19.06858,22.430717,341.8911
rec2020,60.60197,33.507004,88.86753,564.7047,167.36292,320.23175
rec2020,2.780193,12.51065,22.101048,296.23813,127.0305,218.29442
rec2020,0.053610936,0.09035126,0.0063881534,27.737766,23.985,127.44116
rec2020,0.040305544,0.053870525,0.04492682,24.149311,4.552876,167.7947
rec2020,2.0856154,0.8216084,1.7603343,115.13606,60.219143,346.1119
rec2020,0.012909604,0.0018970562,0.011854765,9.552551,12.54091,342.64563
rec2020,0.63535184,0.59443116,0.34960604,76.76223,14.43972,90.29788
rec2020,0.009795946,0.0067738215,0.007262715,10.1528225,2.7714663,6.5795503
rec2020,4.9657006,7.114646,0.7187635,214.7641,123.44152,122.41483
rec2020,0.020688212,0.025609445,0.006608773,16.236496,8.899102,119.38398
rec2020,0.002140473,0.0022664326,0.0013847284,5.422146,1.3425665,112.30758
rec2020,5.7410045,6.970885,5.246352,231.02972,28.032713,146.5348
rec2020,12.311204,5.3472,2.5092647,240.86478,117.921906,36.522038
rec2020,1.1829528,7.845009,5.9025946,216.72824,116.86895,181.72842
rec2020,3.7690847,8.79762,2.1358516,228.07172,123.19119,144.29227
rec2020,2.024743,0.48334378,1.9702173,108.41819,83.38657,340.9099
rec2020,4.7441,1.1557485,3.409549,155.04424,113.129616,349.70358
rec2020,24.532665,24.760946,11.826119,402.13123,76.9331,103.82845
rec2020,0.7793694,0.74921787,0.45722532,85.27636,14.625058,94.517654
rec2020,0.27376878,0.27468958,0.059621945,51.179047,24.709967,104.034615
rec2020,1.7278978,3.3542383,3.069833,160.55167,43.674137,186.06471
rec2020,0.1452532,-0.04281437,0.26234332,27.307192,63.608067,332.88727
rec2020,0.25027362,-0.03415102,0.16085279,30.755434,76.640495,349.14645
rec2020,0.15937898,0.09650285,0.21861161,39.359222,16.220358,320.61902
rec2020,-0.02372666,0.21780685,0.13215691,38.359367,41.128887,179.40958
rec2020,0.23191704,0.019229304,0.19946364,35.98897,46.601242,344.31412
rec2020,0.29208368,0.268283,0.011918582,50.472885,36.137638,100.60458
rec2020,0.19156015,0.19844612,-0.04582044,41.154095,82.91979,109.30627
rec2020,0.18020925,0.22492863,0.26699904,49.20059,6.819578,223.31612
