# generated by reference-checks/aces2_ocio_reference.py, OpenColorIO 2.5.2
# FIXED_FUNCTION_ACES_GAMUT_COMPRESS_20
# columns: peak_nits,limiting_primaries,J,M,h,J_out,M_out,h_out
1000.0,rec2020,100.48362,80.89695,101.60796,100.52309,79.84204,101.60796
1000.0,rec2020,74.71345,120.686676,153.14267,74.71345,120.686676,153.14267
1000.0,rec2020,77.48373,86.13116,190.04375,77.48372,86.13116,190.04375
1000.0,rec2020,0.86101425,3.7870488,208.6143,0.86101425,3.7870488,208.6143
1000.0,rec2020,67.679016,124.94071,346.03012,67.679016,124.94071,346.03012
1000.0,rec2020,175.43399,368.9349,19.1395,165.96024,286.6254,19.1395
1000.0,rec2020,222.45407,157.80132,101.9972,222.36668,153.13097,101.9972
1000.0,rec2020,193.25696,305.28763,152.63237,193.25696,305.28763,152.63237
1000.0,rec2020,196.97375,229.205,189.99106,194.5049,131.54912,189.99106
1000.0,rec2020,8.523272,12.770172,207.45953,8.523272,12.770172,207.45953
1000.0,rec2020,183.09967,334.353,346.19482,183.09966,334.353,346.19482
1000.0,rec2020,54.25646,46.548023,177.88812,54.25646,46.548023,177.88812
1000.0,rec2020,47.09427,10.854286,255.76355,47.09427,10.854286,255.76355
1000.0,rec2020,2.024771,3.5342581,150.59303,2.024771,3.5342581,150.59303
1000.0,rec2020,0.31451195,0.7145068,350.13837,0.31451195,0.7145068,350.13837
1000.0,rec2020,202.03023,13.138245,351.54572,202.03024,13.138245,351.54572
1000.0,rec2020,0.35111907,0.44459745,196.39767,0.35111904,0.44459745,196.39767
1000.0,rec2020,1.2004966,1.9377583,197.00922,1.2004966,1.9377583,197.00922
1000.0,rec2020,242.88416,33.700718,120.88376,242.88416,33.700718,120.88376
1000.0,rec2020,10.229672,18.760258,346.34564,10.229672,18.760258,346.34564
1000.0,rec2020,268.21866,9.928285,324.87567,268.21863,9.928285,324.87567
1000.0,rec2020,217.90466,192.66597,206.70474,214.30124,129.65689,206.70474
1000.0,rec2020,21.575474,23.243435,129.32271,21.575474,23.243435,129.32271
1000.0,rec2020,15.825258,6.671239,171.64165,15.825257,6.671239,171.64165
1000.0,rec2020,119.09137,69.518654,349.9678,119.09138,69.518654,349.9678
1000.0,rec2020,2.466913,5.5030384,346.98468,2.466913,5.5030384,346.98468
1000.0,rec2020,80.20942,14.863856,79.86531,80.20942,14.863856,79.86531
1000.0,rec2020,2.9701517,2.1544855,6.304041,2.970152,2.1544855,6.304041
1000.0,rec2020,199.76462,85.76123,122.93732,199.76459,85.76123,122.93732
1000.0,rec2020,8.277314,6.8700643,118.7246,8.277314,6.8700643,118.7246
